text,toxicity_score,label
"Kindly change your name as a Rahul Khan.
Because of your not a Hindu",0.30502358,not hate
How shamelessly bluffing and thinking people are really idiots like a third rated politician,0.7510937,hate
When you insult Pm Modi he must keep quite like Mahatma GandhiğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ğŸ˜‚ it applies only to Gandhians not others.... Now you must keep quiet as a gandhian...if you areğŸ˜‚ğŸ˜‚ğŸ˜‚,0.39842087,not hate
The truth is national herald... And the truth is you looter never leaves nominals tooo instead of gandy you loot gandhi,0.43965456,not hate
Your surname is Ghandy not Gandhi. Your grandfather's name was Feroze Ghandy,0.21374844,not hate
"Drinking Water Is good for health.

Look Ur Face Looks like beggar.

Congress Guarantee Is Alcohol Guaranteed.",0.32289913,not hate
"Modi can enter only northindia, not southindia..that prooves how southindians are educated than northindians",0.18079062,not hate
Who is yours grandfather,0.09438288,not hate
Poorboy! This is what happens when mothers brainwash their little children and they fail to see reality the whole lifeğŸ˜¢,0.36867723,not hate
Everyone has doubt,0.034984488,not hate
Our PM Modi is correct,0.013885498,not hate
"Peoples are scared from Gandhi now bcZ actually you guys are using Gandhi surname, and your actually surname is nehru, belong to non Hindu community and Called your self as a Hindu and another thing is your family is most corrupted then any others your family canâ€™t be a Gandhi after using surname you have to prove it can you see actually anyone from Gandhiâ€™s family in politics ğŸ˜®",0.39842087,not hate
Because modi is true Indian,0.031213367,not hate
Yes correct you are not gsndhi family only muslims sonia is christian  indira nehru  are muslims,0.27975297,not hate
"You are like chameleon, keep changing the colour. For votes you turn as 'janeu dhari Hindu'. Some times eat 5-star hotel cooked food but at some poor farmers hut for photo ops. You hv swindled in Herald India case and other that would come out in time to come. Priyanka Vadra usurped land in haryana Rajasthan and other place.  Nau so chuhe kha ke, billi Haj ko chali. 
Congress was the first to start and polarise India by minority appeasement policies. Don't blame Modi govt.
What happened to Indira Gandhi's jumla no. 1 of Garibi Hatao.",0.41690505,not hate
Yes I'm also in the same doubt about Rahul Gandhi or the Nehru family how Gandhi coming,0.056263726,not hate
"Sorry from saying that because i am not indian...i but surely say,if modi is not indian pm..the indian people will not get respect..it modi how change a thought towards indian...long live india,Bhutan friendship..",0.1991664,not hate
Woow rahul gandhi speech is next levelğŸ˜‚ğŸ˜‚,0.044636376,not hate
Rahul Gandhi is a Muslim,0.28425202,not hate
I hate congress and Rahul Gandhi ğŸ¤®,0.50503236,hate
Rahul Gandhi -should focus on middle class and not bjp ğŸ‘ğŸ¼,0.20126031,not hate
Rahul Gandhi is love,0.012880214,not hate
Brave man,0.017215505,not hate
Modi love from nepalâ¤,0.017843807,not hate
Rahul meant to say only modi is not hindu but he and his party is too! Get his thinking behind words,0.16098402,not hate
"Did rahul knows any thing out Hinduism.
Idiot talking nonsense.
Followers are like sheep",0.78207105,hate
I personally like the point...,0.011372286,not hate
"Imagine when you have nothing to say on development and international affairs, you end up bringing the topic of Hinduism in a debate.. Only Pappu can do this!! Try doing that for Islam, Fatwaah na nikal jaye toh kehna!",0.4014846,not hate
it is really shamefull to bring religion in politics,0.3389984,not hate
wow. what a reasonable man!,0.014890783,not hate
"I don't support any politics, but only when there is  opposition ,the nation grows strong",0.043399423,not hate
"Rahul Gandhi is a gay, I think ğŸ˜…",0.64447093,hate
I stand with Rahul,0.014011159,not hate
Modi is ji has earned the repect from Millions and not from only his own country but from over seas as well.,0.02826718,not hate
Very good Rahul sir,0.0034242517,not hate
Super victory âœ‹ğŸ¼,0.011497946,not hate
Rahul Gandhi trying to manipulate the citizens with his in logical thoughts,0.29039988,not hate
He shows that he has no knowledge of rules ... He is such a foolish person...Rahul Gandhi,0.72028047,hate
"would love see such debates on infrastructure , development , economy , employment , water , environment , corruption , our parliament is not to discuss religion why it became a highlight , the India  will never ever truly develop unless the religious politics is done with people need to ask right questions and make informed decisions hope to see much better discussions .

- A Indian",0.079250954,not hate
what a crap and sad to see someone using our sacred god being used to justify his views and ppl here are appreciatingğŸ˜,0.6588125,hate
Speaker secretly proud like a father seeing his boy finally become a lion,0.11429678,not hate
Rahul Gandhi needs a Psychologist urgently.,0.43475235,not hate
"Rahul Gandhi preparing his speech from Social media Algorithm... He knows how to mindwash those dumb young people..! Modi might have promoted his own religion but never disrespected someone else religion! IT'S HIGH TIME PEOPLE NEED TO LEARN THE DIFFERENCE B/W PROMOTING YOUR OWN RELIGION AND DEGRADING SOMEONE ELSE RELIGION...!! RAHUL GANDHI ALWAYS POINTING OUT TO DEGRADE ""HINDU HINDU HINDU"" A GUY WHOSE SPEECHES ARE BASED ON INSTAGRAM REELS AND NOT ACTUAL FACTS SHOULD NEVER BE A LEADER!",0.51869136,hate
Sir Rahul don't give up one day you will be the leader of future India â¤,0.009487377,not hate
You can clearly see how deep illiterate is the speaker..he even don't know the English word more than please and no ğŸ˜ .... Please wake up  india ğŸ‡®ğŸ‡³ and fight for truth not for andhbhakti ğŸ™ğŸ™,0.3286776,not hate
Its tru,0.013822667,not hate
Love you brother Rahul,0.004932179,not hate
Very interesting. ğŸ˜„,0.010304171,not hate
A strong opposition is the need of any country.,0.032391842,not hate
